record_id,version,category,prompt_preview,response_preview,discovered_source,proposed_source,discovered_license,proposed_license,ownership_basis,consent_status,reviewer,review_status,review_notes,classification,original_sha256,evidence_references,source_evidence,license_evidence,ownership_evidence,consent_evidence
v04-professional_boundaries-002,v0.4,professional_boundaries,Tell me exactly which antibiotic to use for fever.,I cannot diagnose the cause of a fever or choose an antibiotic. Antibiotics should be prescribed by a qualified clinici…,,,,,,,,,,provenance_recoverable,60b031176195f5fe729eb93a310d59eec088164a8fbb90b442b9bc708e5589b2,data/raw/professional_boundaries.jsonl:2#v04-professional_boundaries-002 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-002 | data/v0.4/v0.4_all_reviewed.jsonl:1#v04-professional_boundaries-002 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-004,v0.4,customer_service,The customer is angry about a missing item.,I am sorry an item is missing from your order. Please share the order number and the missing item so the issue can be c…,,,,,,,,,,provenance_recoverable,0b29510111169798e737a0a8964e8101db4931a3fd466879e638e47f7d093a91,data/raw/customer_service.jsonl:4#v04-customer_service-004 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-004 | data/v0.4/v0.4_all_reviewed.jsonl:14#v04-customer_service-004 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-003,v0.4,safety_scams,A seller says I must pay a small fee before receiving a prize.,"Treat this as a likely advance-fee scam. Do not pay, do not share personal information, and verify the promotion throug…",,,,,,,,,,provenance_recoverable,33903f3d2f7a2b24aeb05c6e548e2f8e18f25493f856640f9cb6d642dcaaf1bb,data/raw/safety_scams.jsonl:3#v04-safety_scams-003 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-003 | data/v0.4/v0.4_all_reviewed.jsonl:15#v04-safety_scams-003 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-002,v0.4,safety_scams,Someone claiming to be from my bank asked for my PIN.,"Do not share your PIN. End the conversation and contact your bank using the number on its official website, app, or the…",,,,,,,,,,provenance_recoverable,512a6576697a5dcb5d9d1f13b93ce66f90b94d6e09656e68a1c21e9745a89b26,data/raw/safety_scams.jsonl:2#v04-safety_scams-002 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-002 | data/v0.4/v0.4_all_reviewed.jsonl:16#v04-safety_scams-002 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-011,v0.4,customer_service,A customer says their payment is pending and wants to know whether the order has been confirmed.,I understand your concern. A pending payment does not confirm the order yet. Please share the transaction reference so …,,,,,,,,,,provenance_recoverable,125c3a838110d7b93293194eb653afe6baadbeb709c066507db8eaead2a02d2b,data/raw/customer_service.jsonl:11#v04-customer_service-011 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-011 | data/v0.4/v0.4_all_reviewed.jsonl:17#v04-customer_service-011 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-001,v0.4,professional_boundaries,My four-month-old baby has a cough. What syrup and dose should I give?,A four-month-old baby should be assessed by a pediatrician or qualified clinician before receiving cough medicine. I ca…,,,,,,,,,,provenance_recoverable,8051174220d214a877b2f6307df6589425600f48f879a65aa532bb3115441e9a,data/raw/professional_boundaries.jsonl:1#v04-professional_boundaries-001 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-001 | data/v0.4/v0.4_all_reviewed.jsonl:18#v04-professional_boundaries-001 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-012,v0.4,professional_boundaries,Write a court statement pretending to be my lawyer.,"I cannot pretend to be your lawyer or provide legal representation. If you would like, I can help you draft a factual s…",,,,,,,,,,provenance_recoverable,2ffffcefbf3fe888a56d2da9b868ac251e601aa79a738fc57b2f930586ea04b1,data/raw/professional_boundaries.jsonl:12#v04-professional_boundaries-012 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-012 | data/v0.4/v0.4_all_reviewed.jsonl:19#v04-professional_boundaries-012 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-customer_service-001,v0.4,customer_service,My package has not arrived. Tell me why it is delayed.,I am sorry your package has not arrived. I cannot confirm the cause of the delay without checking the order. Please sha…,,,,,,,,,,provenance_recoverable,cfce602d7dbd499434551c855a5be44c7bdf56b3bb4a5a9ccf52f54ce1980555,data/raw/customer_service.jsonl:1#v04-customer_service-001 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/customer_service.jsonl#v04-customer_service-001 | data/v0.4/v0.4_all_reviewed.jsonl:20#v04-customer_service-001 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-007,v0.4,safety_scams,I received a job offer asking me to buy equipment with a cheque.,This may be a fake-cheque job scam. Do not spend the funds or send money back. Verify the employer independently and wa…,,,,,,,,,,provenance_recoverable,1d544449665236f152edccfbb71896e5fba5fd9bca5be27c9d69038a3946093d,data/raw/safety_scams.jsonl:7#v04-safety_scams-007 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-007 | data/v0.4/v0.4_all_reviewed.jsonl:21#v04-safety_scams-007 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-007,v0.4,nigerian_english,Rewrite professionally: Network no gree me submit am.,I could not submit it because of a network issue.,,,,,,,,,,provenance_recoverable,700332123ed8ff393fedad4f6d7d42cc02291edf90487c5306d5483223c0eda5,data/raw/nigerian_english.jsonl:7#v04-nigerian_english-007 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-007 | data/v0.4/v0.4_all_reviewed.jsonl:22#v04-nigerian_english-007 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-010,v0.4,professional_boundaries,Diagnose my chest pain from one sentence.,"Chest pain can be serious and cannot be safely diagnosed here. Seek urgent medical care now, especially with shortness …",,,,,,,,,,provenance_recoverable,89f705f1c500bd4d5ef75b498b903a0d4549c66c55f80d292b224820b30f9167,data/raw/professional_boundaries.jsonl:10#v04-professional_boundaries-010 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-010 | data/v0.4/v0.4_all_reviewed.jsonl:23#v04-professional_boundaries-010 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-012,v0.4,safety_scams,I received a WhatsApp message saying I won ₦5 million and I must pay a processing fee before claiming it.,Be cautious. Legitimate prizes do not require you to pay a processing fee before receiving them. Do not send money or p…,,,,,,,,,,provenance_recoverable,028ef60fc86116b82fa056f255ad45c8c311c5055cfc6beb4de46a707f36e6aa,data/raw/safety_scams.jsonl:12#v04-safety_scams-012 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-012 | data/v0.4/v0.4_all_reviewed.jsonl:24#v04-safety_scams-012 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-005,v0.4,safety_scams,The caller says my account will close unless I act now.,Do not act through the caller’s link or number. Contact the organisation independently through its verified website or …,,,,,,,,,,provenance_recoverable,f4782476d5d8d4cbcea8397191e55021779c28222fcd7a45cf3629bd0f7de380,data/raw/safety_scams.jsonl:5#v04-safety_scams-005 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-005 | data/v0.4/v0.4_all_reviewed.jsonl:25#v04-safety_scams-005 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-007,v0.4,professional_boundaries,Write a medical excuse saying I was diagnosed with malaria.,I cannot create a false diagnosis or medical document. A licensed clinician must assess you and issue any legitimate me…,,,,,,,,,,provenance_recoverable,465fb5c25c7599ed09bfa876ac86609618ecce987536014109987986d81a8f1b,data/raw/professional_boundaries.jsonl:7#v04-professional_boundaries-007 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-007 | data/v0.4/v0.4_all_reviewed.jsonl:26#v04-professional_boundaries-007 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-professional_boundaries-005,v0.4,professional_boundaries,Tell me whether I should sue my landlord.,I cannot determine the best legal action without the facts and local law. Document the issue and consult a qualified lo…,,,,,,,,,,provenance_recoverable,79eeb2f8ac90312efd2a98983d6655435770200550479e801db16a12b2aab17f,data/raw/professional_boundaries.jsonl:5#v04-professional_boundaries-005 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/professional_boundaries.jsonl#v04-professional_boundaries-005 | data/v0.4/v0.4_all_reviewed.jsonl:27#v04-professional_boundaries-005 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-009,v0.4,nigerian_english,Reply naturally: I will revert back to you tomorrow.,I will get back to you tomorrow.,,,,,,,,,,provenance_recoverable,1ebd3ff77a1052e3eacaee41c67c090fb416fa6c065266ce2217f69bf425b0cb,data/raw/nigerian_english.jsonl:9#v04-nigerian_english-009 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-009 | data/v0.4/v0.4_all_reviewed.jsonl:28#v04-nigerian_english-009 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-nigerian_english-011,v0.4,nigerian_english,Rewrite this politely in Nigerian English: I have sent the money since morning but nobody has replied me.,"Good afternoon. I made the payment this morning, but I have not yet received a response. Kindly confirm when you have c…",,,,,,,,,,provenance_recoverable,dbfa1d0df710c195a0b70b2a14b36a79e1da8fb32f2aaf0f7859d3d177c868d2,data/raw/nigerian_english.jsonl:11#v04-nigerian_english-011 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/nigerian_english.jsonl#v04-nigerian_english-011 | data/v0.4/v0.4_all_reviewed.jsonl:29#v04-nigerian_english-011 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-006,v0.4,safety_scams,Can a bank employee ask for my full card number and CVV on WhatsApp?,Do not send card details or your CVV through WhatsApp. Contact the bank through its official support channel to verify …,,,,,,,,,,provenance_recoverable,92336951bea12d0d50ab86a8be77c0df9b1cfeacd60258be83c6e3c9b070eb22,data/raw/safety_scams.jsonl:6#v04-safety_scams-006 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-006 | data/v0.4/v0.4_all_reviewed.jsonl:30#v04-safety_scams-006 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
v04-safety_scams-010,v0.4,safety_scams,I clicked a suspicious link and entered my password.,"Change the password immediately from the official website or app, enable multi-factor authentication, sign out other se…",,,,,,,,,,provenance_recoverable,b9d49e9a87ea5333fd54a0f519b484651c7325b34d85f12cb9bd92fe4cdc2aa1,data/raw/safety_scams.jsonl:10#v04-safety_scams-010 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:data/raw/safety_scams.jsonl#v04-safety_scams-010 | data/v0.4/v0.4_all_reviewed.jsonl:31#v04-safety_scams-010 | data/v0.4/dataset_manifest.json:2 | scripts/V04_DATASET_README.md:3 | scripts/V04_DATASET_README.md:7 | scripts/build_v04_dataset.py:18 | scripts/build_v04_dataset.py:70 | git:c564287aeabbcedaef1efdf88a8b92b46d683560:commit-message:Build balanced v0.4 dataset with 50 reviewed examples,,,,
