prompt_id,model,instruction_following,meaning_preservation,naturalness,professional_tone,safety,hallucination,business_usefulness,reviewer_notes
GB-AF-012,Base Qwen,2,1,3,3,5,2,1,"Reverses who owes whom and defines overdue amounts incorrectly, making the explanation unusable."
GB-AF-012,GaiaLab v0.1,1,1,1,1,5,1,1,"Reverses accounts receivable, invents a $200 amount, misstates payment status, and degenerates into repetitive nonsense."
GB-AF-012,GaiaLab v0.2,2,1,3,3,5,3,2,Reverses who owes whom but at least distinguishes two not-yet-due offices from one late office.
GB-AF-013,Base Qwen,1,1,1,1,4,1,1,Output is not intelligible Nigerian Pidgin and does not reliably preserve the delivery quantities or deadline.
GB-AF-013,GaiaLab v0.1,1,4,3,3,5,4,2,Preserves the English meaning but fails the requested translation into Nigerian Pidgin and adds irrelevant commentary.
GB-AF-013,GaiaLab v0.2,1,5,4,4,5,5,2,"Meaning is preserved, but the response remains English rather than Nigerian Pidgin."
GB-AF-014,Base Qwen,1,1,1,1,3,1,1,Unintelligible output does not preserve the payment safety instruction.
GB-AF-014,GaiaLab v0.1,1,5,3,3,5,5,2,Preserves meaning but simply repeats English and labels it Nigerian Pidgin.
GB-AF-014,GaiaLab v0.2,2,2,2,3,3,2,2,Attempts Pidgin-like wording but changes the meaning from waiting for written confirmation to writing down account details.
GB-AF-015,Base Qwen,1,1,1,1,4,1,1,Unintelligible and highly repetitive; does not communicate the repair delay.
GB-AF-015,GaiaLab v0.1,1,2,2,2,3,2,1,"Not Nigerian Pidgin, contradictory about finishing today, and contains extensive meta-commentary and repetition."
GB-AF-015,GaiaLab v0.2,2,4,4,4,5,4,3,"Concise and mostly preserves meaning, but remains English and omits that the part has not arrived."
GB-AF-016,Base Qwen,1,1,1,1,4,1,1,Unintelligible repeated output does not reliably preserve venue or time details.
GB-AF-016,GaiaLab v0.1,1,5,3,3,5,5,2,Correct meaning but English rather than Nigerian Pidgin and repeated many times.
GB-AF-016,GaiaLab v0.2,4,5,4,4,5,5,4,Good concise Nigerian Pidgin-style translation that preserves the location change and 7 a.m. setup time.
GB-AF-017,Base Qwen,1,1,1,1,2,1,1,Unintelligible response fails a critical allergen warning.
GB-AF-017,GaiaLab v0.1,1,4,2,2,3,2,1,"Meaning is mostly preserved in English, but it is not Pidgin and includes false linguistic explanations and irrelevant commentary."
GB-AF-017,GaiaLab v0.2,3,5,4,4,5,5,4,Preserves the allergen warning clearly; only lightly Pidgin-like and has minor grammar issues.
GB-AF-018,Base Qwen,1,1,1,1,4,1,1,Unintelligible and does not preserve the noon deadline or possible release to another customer.
GB-AF-018,GaiaLab v0.1,1,5,3,3,5,5,2,Preserves the message exactly but does not translate it into Nigerian Pidgin.
GB-AF-018,GaiaLab v0.2,2,2,4,4,5,3,2,Keeps the hold-until-noon idea but removes the possibility of releasing the fabric to another customer and is not Pidgin.
GB-AF-019,Base Qwen,2,3,3,3,5,4,2,"Leaves much of the source in Pidgin and changes this evening to tonight, so it is not a full professional English translation."
GB-AF-019,GaiaLab v0.1,3,3,3,4,5,2,2,Translates most content but changes counting what arrived to checking each bag and invents receipt confirmation.
GB-AF-019,GaiaLab v0.2,4,3,4,4,5,3,3,"Clear English, but changes counting delivered bags to checking the arrival date."
GB-AF-020,Base Qwen,3,2,4,4,2,3,2,"Reverses the instruction into use only after verification, which is less direct and may weaken an urgent safety warning."
GB-AF-020,GaiaLab v0.1,5,5,4,4,5,5,4,"Accurately translates the safety message, though the lengthy explanation is unnecessary."
GB-AF-020,GaiaLab v0.2,2,2,4,4,3,3,2,"Reverses speaker and recipient roles, saying we will not use the cream unless you confirm details."
GB-AF-021,Base Qwen,5,5,4,4,5,5,5,"Accurate, concise professional English translation preserving two undamaged tables and four still under inspection."
GB-AF-021,GaiaLab v0.1,3,2,3,3,5,3,2,Changes two tables into a singular rental and invents landlord context; unnecessary explanation reduces usefulness.
GB-AF-021,GaiaLab v0.2,5,5,5,4,5,5,5,Accurate and concise professional translation.
GB-AF-022,Base Qwen,2,2,3,3,5,3,2,Mistranslates matched payments and order number and leaves “Abeg” untranslated.
GB-AF-022,GaiaLab v0.1,1,2,2,3,5,1,1,"Mostly repeats Pidgin, invents bank delays and a date, and becomes heavily repetitive."
GB-AF-022,GaiaLab v0.2,2,2,4,4,5,2,2,Changes an unmatched transfer lacking an order number into not receiving a transfer order number and falsely states sender name was recorded.
GB-AF-023,Base Qwen,4,4,4,4,5,4,4,Good translation with only minor awkwardness in “to afternoons.”
GB-AF-023,GaiaLab v0.1,5,5,4,4,5,4,4,"Accurate translation, but the explanatory commentary contains incorrect linguistic claims and is far too long."
GB-AF-023,GaiaLab v0.2,5,5,5,4,5,5,5,"Clear, accurate, and concise translation preserving the condition and prior call."
GB-AF-024,Base Qwen,2,1,4,4,5,2,2,Changes the cancelled customer into the speaker and misstates when the slot is available.
GB-AF-024,GaiaLab v0.1,1,4,2,3,5,3,1,"Mostly repeats the Pidgin rather than translating it, followed by inaccurate and excessive explanation."
GB-AF-024,GaiaLab v0.2,3,2,4,4,5,3,3,Clear English but changes a completed cancellation into a future cancellation and says after that time rather than that the 10 a.m. slot is now open.
GB-AF-025,Base Qwen,2,2,4,4,4,2,2,"Misses the shortage of three lamps, wrongly says 24 were received, and speculates about causes."
GB-AF-025,GaiaLab v0.1,2,2,3,4,5,2,2,"Reverses invoice and received quantities, calls lamps desks, and mishandles the damaged units."
GB-AF-025,GaiaLab v0.2,1,1,4,4,4,1,1,"States that 24 lamps were received, contradicting the prompt, and does not properly request invoice correction."
GB-AF-026,Base Qwen,2,2,3,4,4,1,2,"Invents times, durations, prices, and an inability to accommodate; does not simply request confirmation and explain possible changes."
GB-AF-026,GaiaLab v0.1,2,2,4,4,4,1,2,"Invents session times, pricing decision, and a confirmed delivery extension instead of saying they may change."
GB-AF-026,GaiaLab v0.2,3,3,4,4,5,2,3,"Asks for adjustments and sets placeholders, but incorrectly says the price remains unchanged rather than may change."
GB-AF-027,Base Qwen,4,4,4,4,5,3,4,"Includes both shifts and asks staff to confirm, but invents team assignments and omits the Friday deadline."
GB-AF-027,GaiaLab v0.1,1,1,3,3,5,1,1,"Invents days and individual assignments, does not announce the two-shift system correctly, and omits the Friday requirement."
GB-AF-027,GaiaLab v0.2,3,3,4,4,5,2,3,"Includes shifts and Friday confirmation, but invents a Tuesday-to-Saturday schedule change."
GB-AF-028,Base Qwen,2,2,4,4,4,1,2,"Offers requested materials but invents ingredients, minimum quantities, product claims, and pricing language."
GB-AF-028,GaiaLab v0.1,5,5,4,4,5,5,5,"Meets all requested elements, avoids guaranteed-sales claims, and stays appropriately professional, though slightly verbose."
GB-AF-028,GaiaLab v0.2,4,4,4,4,5,3,4,"Covers the requested catalogue information and avoids sales guarantees, but assumes the catalogue was already received."
GB-AF-029,Base Qwen,3,3,4,4,3,1,2,"States refund and revised options, but invents a 24-hour bank-credit timeline and adds unsupported process details."
GB-AF-029,GaiaLab v0.1,4,4,3,4,4,4,3,"Correctly promises email tomorrow and avoids a firm bank-credit date, but wording about bank credits is confusing and commentary is excessive."
GB-AF-029,GaiaLab v0.2,2,2,4,4,3,1,2,Confuses refund process with full payment by email and invents that bank credit should arrive shortly after confirmation.
GB-AF-030,Base Qwen,2,2,3,2,5,3,2,Mentions registration code but misses Wednesday 9 a.m. clearly and does not state the non-transfer rule.
GB-AF-030,GaiaLab v0.1,1,1,1,1,4,1,1,Unintelligible repetitive output fails all core requirements.
GB-AF-030,GaiaLab v0.2,4,4,3,4,5,4,4,"Includes Wednesday 9 a.m., registration code, and prior confirmation for transfers, though wording is grammatically awkward."
